PostOfficeName,Pincode,City,District,State
Connaught Place,110001,New Delhi,New Delhi,Delhi
Constitution House,110001,New Delhi,Central Delhi,Delhi
Eastern Court,110001,New Delhi,Central Delhi,Delhi
Election Commission,110001,New Delhi,Central Delhi,Delhi
Janpath,110001,New Delhi,Central Delhi,Delhi
Krishi Bhawan,110001,New Delhi,Central Delhi,Delhi
Lady Harding Medical College,110001,New Delhi,Central Delhi,Delhi
Laxminarain Mandir,110001,New Delhi,Central Delhi,Delhi
New Delhi G P O,110001,New Delhi,Central Delhi,Delhi
North Avenue,110001,New Delhi,Central Delhi,Delhi
Parliament House,110001,New Delhi,New Delhi,Delhi
Parliament Street,110001,New Delhi,New Delhi,Delhi
Patiala House,110001,New Delhi,Central Delhi,Delhi
Pragati Maidan,110001,New Delhi,Central Delhi,Delhi
Rail Bhawan,110001,New Delhi,Central Delhi,Delhi
Sansadiya Soudha,110001,New Delhi,Central Delhi,Delhi
Sectt North,110001,New Delhi,Central Delhi,Delhi
Shastri Bhawan,110001,New Delhi,Central Delhi,Delhi
Supreme Court,110001,New Delhi,Central Delhi,Delhi
A G C R,110002,New Delhi,Central Delhi,Delhi
Ajmeri Gate Extension,110002,New Delhi,Central Delhi,Delhi
Ansari Road,110002,New Delhi,Central Delhi,Delhi
Darya Ganj,110002,New Delhi,Central Delhi,Delhi
Gandhi Samarak,110002,New Delhi,Central Delhi,Delhi
Indian Agriculture,110002,New Delhi,Central Delhi,Delhi
Indraprastha,110002,New Delhi,Central Delhi,Delhi
Indraprastha Estate,110002,New Delhi,Central Delhi,Delhi
Minto Road,110002,New Delhi,Central Delhi,Delhi
Rajghat Power House,110002,New Delhi,Central Delhi,Delhi
Aliganj,110003,New Delhi,North Delhi,Delhi
Delhi High Court,110003,New Delhi,Central Delhi,Delhi
Golf Links,110003,New Delhi,Central Delhi,Delhi
Jawahar Lal Nehru Stadium,110003,New Delhi,South Delhi,Delhi
Lodi Colony Market,110003,New Delhi,South Delhi,Delhi
Lodi House Hostel,110003,New Delhi,South Delhi,Delhi
Lodi Road,110003,New Delhi,South Delhi,Delhi
Lok Nagar Bhawan,110003,New Delhi,Central Delhi,Delhi
Oberei Intercontinental,110003,New Delhi,South Delhi,Delhi
Pandara Road,110003,New Delhi,Central Delhi,Delhi
Pragati Vihar,110003,New Delhi,South Delhi,Delhi
Safdarjang Air Port,110003,New Delhi,South Delhi,Delhi
Wazir Nagar,110003,New Delhi,South Delhi,Delhi
Rashtrapati Bhawan,110004,New Delhi,Central Delhi,Delhi
Anand Nagar,110005,New Delhi,Central Delhi,Delhi
Anand Parbat,110005,New Delhi,Central Delhi,Delhi
Bank Street,110005,New Delhi,Central Delhi,Delhi
Desh Bandhu Gupta Road,110005,New Delhi,Central Delhi,Delhi
Karol Bagh,110005,New Delhi,Central Delhi,Delhi
Lower Camp Anand Parbat,110005,New Delhi,Central Delhi,Delhi
Model Basti,110005,New Delhi,North Delhi,Delhi
Sat Nahar,110005,New Delhi,Central Delhi,Delhi
Than Singh Nagar,110005,New Delhi,Central Delhi,Delhi
Bara Tooti,110006,New Delhi,Central Delhi,Delhi
Chandni Chowk,110006,New Delhi,Central Delhi,Delhi
Chawri Bazar,110006,New Delhi,Central Delhi,Delhi
Dareeba,110006,New Delhi,Central Delhi,Delhi
Delhi Cloth Mills,110006,New Delhi,Central Delhi,Delhi
Delhi G P O,110006,New Delhi,Central Delhi,Delhi
Delhi Sadar Bazar,110006,New Delhi,Central Delhi,Delhi
Farashkhana,110006,New Delhi,Central Delhi,Delhi
Fatehpuri,110006,New Delhi,Central Delhi,Delhi
Hamdard Dawakhana,110006,New Delhi,Central Delhi,Delhi
Hauz Qazi,110006,New Delhi,Central Delhi,Delhi
Idgah Road I S B T,110006,New Delhi,Central Delhi,Delhi
Jama Masjid,110006,New Delhi,Central Delhi,Delhi
Mori Gate,110006,New Delhi,Central Delhi,Delhi
Red Fort,110006,New Delhi,Central Delhi,Delhi
Sadar Thana Road,110006,New Delhi,Central Delhi,Delhi
Birla Lines,110007,New Delhi,North Delhi,Delhi
C C Institute,110007,New Delhi,North Delhi,Delhi
Delhi University,110007,New Delhi,North Delhi,Delhi
Jawahar Nagar,110007,New Delhi,North Delhi,Delhi
